Date,Client_ID,Industry,Project_Type,Consultant_Level,Region,Hours_Billed,Hourly_Rate,Revenue,Cost,Profit
2023-03-19,C3442,Retail,Strategy,Senior,Africa,118,176,20768,10384,10384
2024-07-19,C3426,Energy,Data Analytics,Junior,Asia,39,82,3198,1918.8,1279.2
2024-01-09,C1653,Technology,Data Analytics,Mid,North America,57,93,5301,2915.55,2385.45
2023-12-29,C7658,Retail,Data Analytics,Mid,Europe,26,119,3094,1701.7,1392.3
2023-07-01,C7755,Finance,Data Analytics,Senior,Middle East,126,186,23436,11718,11718
2024-11-16,C5065,Technology,Data Analytics,Junior,Middle East,102,80,8160,4896,3264
2023-02-09,C8711,Healthcare,Data Analytics,Principal,Asia,169,377,63713,28670.85,35042.15
2023-11-09,C4728,Healthcare,Strategy,Mid,Middle East,27,131,3537,1945.35,1591.65
2023-12-03,C5564,Finance,Digital Transformation,Senior,Africa,67,195,13065,6532.5,6532.5
2024-02-14,C9785,Technology,Strategy,Junior,Asia,123,81,9963,5977.8,3985.2
2023-07-02,C5349,Finance,Strategy,Principal,Asia,164,353,57892,26051.4,31840.6
2023-11-18,C8149,Retail,Operations,Junior,Middle East,170,58,9860,5916,3944
2024-08-13,C4114,Technology,Strategy,Principal,North America,179,262,46898,21104.1,25793.9
2024-06-16,C9821,Government,Data Analytics,Senior,Middle East,69,185,12765,6382.5,6382.5
2023-03-13,C6409,Retail,Digital Transformation,Junior,Asia,74,57,4218,2530.8,1687.2
2024-06-03,C6067,Government,Audit,Senior,Middle East,124,241,29884,14942,14942
2024-12-14,C5844,Retail,Data Analytics,Mid,Middle East,75,112,8400,4620,3780
2024-11-11,C7211,Government,Data Analytics,Senior,Middle East,60,212,12720,6360,6360
2024-07-15,C1006,Technology,Digital Transformation,Mid,Middle East,159,138,21942,12068.1,9873.9
2024-08-16,C6279,Energy,Audit,Principal,Europe,24,302,7248,3261.6,3986.4
2024-06-07,C8752,Government,Data Analytics,Junior,Asia,69,54,3726,2235.6,1490.4
2024-06-11,C6491,Finance,Data Analytics,Senior,Europe,118,243,28674,14337,14337
2023-07-23,C3414,Finance,Strategy,Mid,Middle East,108,141,15228,8375.4,6852.6
2024-09-17,C2193,Energy,Audit,Mid,Middle East,123,108,13284,7306.2,5977.8
2024-05-21,C7547,Healthcare,Data Analytics,Junior,North America,72,68,4896,2937.6,1958.4
2024-03-11,C4585,Healthcare,Operations,Principal,North America,126,378,47628,21432.6,26195.4
2024-07-24,C5082,Finance,Audit,Mid,Middle East,67,136,9112,5011.6,4100.4
2024-11-14,C9702,Retail,Operations,Senior,Middle East,135,150,20250,10125,10125
2024-09-19,C9270,Energy,Operations,Principal,Europe,198,342,67716,30472.2,37243.8
2024-05-01,C8373,Technology,Data Analytics,Senior,Africa,85,200,17000,8500,8500
2024-05-11,C4919,Technology,Audit,Junior,Asia,194,78,15132,9079.2,6052.8
2023-08-29,C5451,Technology,Digital Transformation,Junior,Europe,56,79,4424,2654.4,1769.6
2023-06-04,C4788,Energy,Data Analytics,Mid,North America,185,128,23680,13024,10656
2024-02-29,C7678,Technology,Operations,Principal,Middle East,110,318,34980,15741,19239
2023-03-05,C4388,Energy,Audit,Junior,Africa,109,83,9047,5428.2,3618.8
2024-01-25,C8814,Finance,Digital Transformation,Senior,Middle East,156,218,34008,17004,17004
2024-03-05,C9818,Government,Operations,Mid,Middle East,25,105,2625,1443.75,1181.25
2023-08-13,C5471,Energy,Audit,Junior,Middle East,169,76,12844,7706.4,5137.6
2023-12-11,C7624,Government,Data Analytics,Principal,Europe,187,350,65450,29452.5,35997.5
2024-09-29,C9751,Finance,Audit,Junior,North America,21,52,1092,655.2,436.8
2024-10-20,C8022,Healthcare,Audit,Mid,North America,52,102,5304,2917.2,2386.8
2023-09-24,C7211,Technology,Data Analytics,Principal,Asia,55,330,18150,8167.5,9982.5
2023-12-12,C7211,Technology,Audit,Senior,North America,99,175,17325,8662.5,8662.5
2024-04-26,C1317,Government,Operations,Junior,Asia,171,56,9576,5745.6,3830.4
2023-08-18,C2124,Government,Strategy,Junior,Europe,84,78,6552,3931.2,2620.8
2023-07-24,C1333,Retail,Data Analytics,Mid,Europe,173,126,21798,11988.9,9809.1
2024-04-29,C2874,Retail,Data Analytics,Principal,Asia,45,286,12870,5791.5,7078.5
2024-01-13,C3749,Retail,Operations,Junior,Europe,21,62,1302,781.2,520.8
2023-11-15,C2771,Retail,Strategy,Senior,Africa,114,211,24054,12027,12027
2024-11-24,C7149,Energy,Data Analytics,Junior,Africa,121,74,8954,5372.4,3581.6
2024-12-08,C4978,Finance,Digital Transformation,Junior,Africa,186,85,15810,9486,6324
2023-02-12,C6688,Retail,Audit,Senior,North America,85,177,15045,7522.5,7522.5
2024-06-02,C6590,Finance,Audit,Principal,North America,61,366,22326,10046.7,12279.3
2024-03-19,C6934,Government,Audit,Mid,Middle East,78,101,7878,4332.9,3545.1
2023-06-30,C9548,Government,Digital Transformation,Principal,Middle East,62,288,17856,8035.2,9820.8
2024-03-22,C5397,Technology,Data Analytics,Junior,Asia,118,88,10384,6230.4,4153.6
2024-04-06,C4995,Energy,Operations,Principal,Asia,142,324,46008,20703.6,25304.4
2023-01-30,C9098,Technology,Data Analytics,Principal,Europe,155,394,61070,27481.5,33588.5
2023-12-30,C5232,Technology,Digital Transformation,Senior,Africa,16,191,3056,1528,1528
2023-01-11,C9464,Healthcare,Strategy,Mid,Middle East,187,147,27489,15118.95,12370.05
2024-05-15,C4937,Government,Audit,Principal,Middle East,38,385,14630,6583.5,8046.5
2023-01-18,C2524,Technology,Data Analytics,Principal,Europe,118,320,37760,16992,20768
2023-11-10,C7046,Energy,Operations,Senior,Middle East,54,219,11826,5913,5913
2024-07-17,C6419,Technology,Audit,Senior,Asia,198,223,44154,22077,22077
2023-09-15,C4777,Finance,Data Analytics,Senior,North America,28,194,5432,2716,2716
2024-07-02,C4033,Healthcare,Data Analytics,Principal,Asia,135,310,41850,18832.5,23017.5
2024-08-26,C9595,Retail,Digital Transformation,Junior,Europe,136,88,11968,7180.8,4787.2
2023-10-31,C4727,Technology,Data Analytics,Senior,North America,199,182,36218,18109,18109
2024-12-26,C9751,Healthcare,Digital Transformation,Junior,North America,143,81,11583,6949.8,4633.2
2024-07-20,C5786,Government,Data Analytics,Principal,North America,158,396,62568,28155.6,34412.4
2023-01-13,C5658,Energy,Audit,Principal,Asia,29,263,7627,3432.15,4194.85
2023-07-08,C1841,Technology,Audit,Junior,North America,152,80,12160,7296,4864
2024-02-15,C9056,Finance,Operations,Junior,Europe,12,65,780,468,312
2023-06-02,C5978,Finance,Data Analytics,Junior,Africa,83,81,6723,4033.8,2689.2
2024-03-02,C4697,Retail,Audit,Principal,Middle East,161,371,59731,26878.95,32852.05
2023-11-01,C8025,Technology,Operations,Junior,Africa,101,85,8585,5151,3434
2023-04-12,C4404,Government,Data Analytics,Senior,North America,187,190,35530,17765,17765
2023-06-10,C4929,Healthcare,Operations,Junior,Europe,170,69,11730,7038,4692
2023-01-03,C7693,Energy,Operations,Principal,Asia,55,364,20020,9009,11011
2023-02-03,C4792,Technology,Digital Transformation,Principal,North America,56,305,17080,7686,9394
2024-12-04,C4824,Technology,Operations,Mid,Middle East,39,144,5616,3088.8,2527.2
2023-04-28,C9922,Healthcare,Data Analytics,Senior,Europe,74,198,14652,7326,7326
2023-03-15,C1977,Healthcare,Digital Transformation,Senior,Middle East,94,235,22090,11045,11045
2023-05-08,C8679,Government,Digital Transformation,Principal,Asia,36,354,12744,5734.8,7009.2
2024-05-27,C9847,Energy,Audit,Junior,Africa,108,50,5400,3240,2160
2023-02-10,C8078,Government,Digital Transformation,Senior,North America,104,152,15808,7904,7904
2023-04-04,C4750,Government,Operations,Junior,Asia,62,86,5332,3199.2,2132.8
2024-08-13,C1659,Healthcare,Audit,Principal,Asia,154,359,55286,24878.7,30407.3
2023-07-05,C8141,Government,Audit,Junior,Middle East,10,62,620,372,248
2023-12-23,C7690,Technology,Digital Transformation,Junior,Europe,41,83,3403,2041.8,1361.2
2023-12-04,C7744,Government,Audit,Senior,Middle East,48,183,8784,4392,4392
2024-07-17,C1601,Energy,Strategy,Senior,Asia,12,203,2436,1218,1218
2023-11-28,C2899,Energy,Operations,Junior,Africa,66,66,4356,2613.6,1742.4
2024-04-18,C7770,Finance,Data Analytics,Senior,Africa,151,200,30200,15100,15100
2024-05-25,C8242,Finance,Data Analytics,Senior,Africa,175,199,34825,17412.5,17412.5
2023-05-15,C5719,Energy,Audit,Junior,North America,91,79,7189,4313.4,2875.6
2024-10-07,C4920,Government,Data Analytics,Senior,Africa,175,228,39900,19950,19950
2023-01-15,C7684,Finance,Data Analytics,Junior,Middle East,115,66,7590,4554,3036
2023-05-01,C3522,Energy,Digital Transformation,Senior,Middle East,147,166,24402,12201,12201
2024-05-09,C8736,Healthcare,Audit,Mid,Middle East,78,95,7410,4075.5,3334.5
2023-07-15,C9327,Government,Data Analytics,Junior,Asia,52,60,3120,1872,1248
2024-02-29,C6568,Retail,Digital Transformation,Junior,Asia,104,60,6240,3744,2496
2023-11-02,C9022,Healthcare,Audit,Principal,Asia,141,274,38634,17385.3,21248.7
2023-12-07,C9903,Energy,Audit,Senior,Europe,105,242,25410,12705,12705
2024-12-15,C4912,Retail,Audit,Mid,Middle East,131,110,14410,7925.5,6484.5
2023-02-14,C6213,Government,Audit,Principal,Middle East,179,250,44750,20137.5,24612.5
2024-11-10,C3492,Energy,Strategy,Mid,Africa,142,115,16330,8981.5,7348.5
2024-08-27,C6439,Finance,Audit,Junior,Africa,186,63,11718,7030.8,4687.2
2024-04-12,C1251,Government,Data Analytics,Principal,Europe,35,343,12005,5402.25,6602.75
2023-03-18,C8692,Technology,Digital Transformation,Principal,North America,116,250,29000,13050,15950
2023-12-03,C9742,Energy,Digital Transformation,Principal,Africa,17,296,5032,2264.4,2767.6
2023-02-06,C2121,Healthcare,Digital Transformation,Mid,North America,136,103,14008,7704.4,6303.6
2024-03-20,C2612,Government,Strategy,Principal,Europe,87,263,22881,10296.45,12584.55
2024-12-11,C5906,Finance,Strategy,Senior,North America,196,172,33712,16856,16856
2023-10-28,C6873,Technology,Audit,Mid,Europe,27,124,3348,1841.4,1506.6
2024-06-27,C7751,Retail,Data Analytics,Mid,Europe,37,128,4736,2604.8,2131.2
2023-03-22,C7267,Retail,Data Analytics,Principal,Africa,95,394,37430,16843.5,20586.5
2023-05-27,C4804,Energy,Digital Transformation,Principal,Asia,22,387,8514,3831.3,4682.7
2024-11-13,C1153,Energy,Digital Transformation,Mid,North America,76,136,10336,5684.8,4651.2
2024-03-28,C6661,Retail,Digital Transformation,Principal,Asia,43,291,12513,5630.85,6882.15
2024-04-12,C5949,Healthcare,Audit,Principal,North America,178,275,48950,22027.5,26922.5
2023-08-31,C7248,Retail,Digital Transformation,Senior,Asia,73,205,14965,7482.5,7482.5
2023-01-23,C7484,Technology,Strategy,Junior,Africa,118,55,6490,3894,2596
2024-05-23,C5689,Healthcare,Operations,Senior,Europe,30,153,4590,2295,2295
2024-10-13,C4115,Retail,Digital Transformation,Mid,North America,84,120,10080,5544,4536
2024-10-04,C1645,Technology,Audit,Junior,Africa,146,52,7592,4555.2,3036.8
2024-01-09,C3153,Finance,Digital Transformation,Senior,Middle East,45,155,6975,3487.5,3487.5
2023-06-29,C4289,Healthcare,Operations,Senior,Africa,84,155,13020,6510,6510
2024-05-28,C5465,Healthcare,Digital Transformation,Principal,Asia,122,311,37942,17073.9,20868.1
2023-12-13,C2886,Energy,Strategy,Mid,Europe,194,104,20176,11096.8,9079.2
2024-11-23,C7511,Retail,Digital Transformation,Junior,Middle East,35,54,1890,1134,756
2023-01-15,C5332,Retail,Strategy,Principal,Asia,77,269,20713,9320.85,11392.15
2024-11-19,C5295,Retail,Audit,Senior,North America,122,150,18300,9150,9150
2024-11-22,C4830,Energy,Strategy,Senior,Africa,151,160,24160,12080,12080
2023-08-15,C2035,Government,Audit,Senior,Middle East,86,155,13330,6665,6665
2023-04-30,C3290,Finance,Strategy,Senior,Middle East,14,193,2702,1351,1351
2023-04-29,C2592,Healthcare,Operations,Mid,Middle East,22,91,2002,1101.1,900.9
2024-04-09,C7078,Government,Operations,Principal,Africa,72,258,18576,8359.2,10216.8
2023-06-08,C7797,Government,Strategy,Principal,Africa,152,343,52136,23461.2,28674.8
2024-02-22,C5583,Finance,Digital Transformation,Mid,Middle East,104,149,15496,8522.8,6973.2
2024-03-31,C4868,Technology,Strategy,Senior,Africa,126,183,23058,11529,11529
2024-10-22,C6876,Finance,Audit,Senior,Europe,44,213,9372,4686,4686
2023-05-06,C8450,Finance,Data Analytics,Junior,North America,69,78,5382,3229.2,2152.8
2023-12-08,C4990,Healthcare,Operations,Mid,North America,23,124,2852,1568.6,1283.4
2024-07-21,C4394,Retail,Data Analytics,Mid,Asia,92,115,10580,5819,4761
2023-06-01,C1046,Technology,Data Analytics,Mid,Africa,98,107,10486,5767.3,4718.7
2023-09-14,C3858,Finance,Strategy,Mid,North America,48,103,4944,2719.2,2224.8
2024-01-02,C4898,Retail,Digital Transformation,Junior,Europe,175,82,14350,8610,5740
2023-09-29,C1858,Healthcare,Audit,Junior,North America,162,66,10692,6415.2,4276.8
2024-05-02,C8344,Technology,Operations,Junior,Middle East,113,89,10057,6034.2,4022.8
2024-05-30,C4629,Retail,Strategy,Senior,Middle East,76,221,16796,8398,8398
2024-10-20,C1510,Finance,Audit,Principal,Middle East,24,287,6888,3099.6,3788.4
2024-12-03,C2768,Energy,Audit,Junior,North America,194,82,15908,9544.8,6363.2
2023-11-26,C3430,Finance,Data Analytics,Senior,Africa,95,154,14630,7315,7315
2024-10-10,C9984,Government,Digital Transformation,Principal,Africa,83,390,32370,14566.5,17803.5
2024-06-27,C5831,Energy,Operations,Principal,North America,168,264,44352,19958.4,24393.6
2024-12-19,C2874,Government,Operations,Mid,Middle East,166,94,15604,8582.2,7021.8
2024-04-07,C4743,Energy,Digital Transformation,Principal,Middle East,77,344,26488,11919.6,14568.4
2024-03-01,C2557,Technology,Audit,Senior,Asia,124,175,21700,10850,10850
2024-01-19,C3500,Government,Audit,Junior,North America,36,54,1944,1166.4,777.6
2023-03-29,C2527,Energy,Strategy,Senior,Europe,113,221,24973,12486.5,12486.5
2024-07-23,C1982,Retail,Operations,Senior,North America,56,161,9016,4508,4508
2024-02-25,C6793,Government,Audit,Junior,Asia,113,67,7571,4542.6,3028.4
2024-09-06,C6119,Technology,Strategy,Mid,Europe,113,133,15029,8265.95,6763.05
2024-11-03,C8900,Healthcare,Strategy,Senior,Africa,142,241,34222,17111,17111
2024-01-12,C2882,Technology,Operations,Mid,Middle East,131,143,18733,10303.15,8429.85
2024-07-28,C1430,Retail,Digital Transformation,Junior,Europe,49,71,3479,2087.4,1391.6
2023-10-07,C6062,Technology,Digital Transformation,Junior,Europe,55,86,4730,2838,1892
2023-05-27,C7566,Finance,Data Analytics,Junior,North America,173,72,12456,7473.6,4982.4
2024-06-27,C4524,Energy,Audit,Principal,Asia,191,302,57682,25956.9,31725.1
2023-06-11,C7062,Technology,Digital Transformation,Junior,North America,146,59,8614,5168.4,3445.6
2023-06-09,C3579,Retail,Strategy,Junior,Asia,163,84,13692,8215.2,5476.8
2024-03-29,C7947,Energy,Operations,Principal,Middle East,84,340,28560,12852,15708
2023-10-07,C4531,Retail,Strategy,Senior,Middle East,26,220,5720,2860,2860
2023-04-24,C5640,Government,Operations,Principal,Africa,170,363,61710,27769.5,33940.5
2024-11-14,C6053,Finance,Data Analytics,Principal,Africa,58,354,20532,9239.4,11292.6
2023-02-26,C1125,Healthcare,Digital Transformation,Mid,Europe,186,143,26598,14628.9,11969.1
2023-09-19,C5742,Technology,Strategy,Junior,Middle East,198,89,17622,10573.2,7048.8
2024-03-16,C3878,Healthcare,Audit,Mid,Africa,150,112,16800,9240,7560
2024-07-26,C6802,Finance,Audit,Junior,Middle East,193,68,13124,7874.4,5249.6
2023-01-20,C8532,Finance,Digital Transformation,Principal,Africa,58,268,15544,6994.8,8549.2
2024-02-19,C7843,Technology,Strategy,Principal,North America,27,362,9774,4398.3,5375.7
2023-11-29,C3815,Retail,Audit,Senior,North America,123,200,24600,12300,12300
2024-03-23,C2734,Healthcare,Audit,Principal,Africa,141,304,42864,19288.8,23575.2
2023-03-22,C7484,Technology,Digital Transformation,Mid,Asia,112,121,13552,7453.6,6098.4
2023-06-22,C2251,Retail,Strategy,Mid,Asia,171,112,19152,10533.6,8618.4
2023-12-26,C3419,Healthcare,Strategy,Mid,Asia,187,118,22066,12136.3,9929.7
2023-07-22,C3842,Retail,Data Analytics,Junior,Europe,66,52,3432,2059.2,1372.8
2024-10-05,C9095,Energy,Operations,Principal,Africa,63,346,21798,9809.1,11988.9
2024-10-20,C6295,Government,Digital Transformation,Mid,Middle East,101,123,12423,6832.65,5590.35
2023-03-11,C8682,Energy,Digital Transformation,Senior,Africa,97,195,18915,9457.5,9457.5
2023-02-27,C6766,Retail,Strategy,Senior,Middle East,174,244,42456,21228,21228
2024-04-07,C1616,Finance,Digital Transformation,Senior,North America,185,223,41255,20627.5,20627.5
2024-10-22,C2479,Retail,Operations,Principal,Middle East,170,361,61370,27616.5,33753.5
2024-08-17,C1672,Energy,Operations,Mid,Asia,134,125,16750,9212.5,7537.5
2024-09-11,C8792,Retail,Data Analytics,Junior,Middle East,11,50,550,330,220
2023-04-16,C6626,Government,Strategy,Mid,North America,20,92,1840,1012,828
2023-09-11,C8172,Energy,Operations,Mid,Asia,149,94,14006,7703.3,6302.7
2024-01-17,C5634,Energy,Audit,Senior,Africa,62,235,14570,7285,7285
2023-02-23,C6482,Finance,Digital Transformation,Junior,Africa,33,66,2178,1306.8,871.2
2024-11-25,C7333,Technology,Digital Transformation,Mid,Asia,68,121,8228,4525.4,3702.6
2023-03-25,C3317,Technology,Digital Transformation,Principal,Europe,124,289,35836,16126.2,19709.8
2024-09-01,C2388,Technology,Operations,Principal,Asia,34,253,8602,3870.9,4731.1
2023-05-11,C9624,Finance,Audit,Senior,North America,163,247,40261,20130.5,20130.5
2024-01-07,C6060,Healthcare,Data Analytics,Senior,Middle East,84,234,19656,9828,9828
2023-07-16,C4711,Healthcare,Data Analytics,Junior,Asia,109,87,9483,5689.8,3793.2
2023-04-14,C9317,Retail,Operations,Junior,Asia,85,72,6120,3672,2448
2024-09-24,C3147,Retail,Audit,Mid,Europe,66,95,6270,3448.5,2821.5
2023-07-05,C3712,Government,Audit,Junior,Middle East,21,56,1176,705.6,470.4
2024-01-09,C4891,Energy,Operations,Senior,Middle East,163,211,34393,17196.5,17196.5
2023-08-28,C9749,Healthcare,Digital Transformation,Principal,Europe,55,356,19580,8811,10769
2024-01-12,C8218,Energy,Digital Transformation,Principal,Africa,60,278,16680,7506,9174
2024-06-24,C7859,Healthcare,Data Analytics,Mid,Asia,158,129,20382,11210.1,9171.9
2023-02-23,C8873,Technology,Operations,Junior,Africa,196,88,17248,10348.8,6899.2
2023-05-08,C5670,Finance,Data Analytics,Senior,Middle East,107,171,18297,9148.5,9148.5
2024-06-09,C3414,Energy,Strategy,Mid,Middle East,65,147,9555,5255.25,4299.75
2023-12-24,C1436,Energy,Strategy,Principal,Africa,90,322,28980,13041,15939
2024-01-18,C4862,Energy,Strategy,Senior,Europe,49,238,11662,5831,5831
2023-01-29,C6221,Finance,Digital Transformation,Mid,Europe,180,131,23580,12969,10611
2023-02-09,C5700,Energy,Data Analytics,Principal,Middle East,44,351,15444,6949.8,8494.2
2024-09-22,C1086,Finance,Strategy,Senior,Europe,107,193,20651,10325.5,10325.5
2023-06-03,C9991,Government,Operations,Principal,North America,198,304,60192,27086.4,33105.6
2023-10-23,C4893,Technology,Strategy,Junior,Europe,56,61,3416,2049.6,1366.4
2024-03-05,C8489,Finance,Strategy,Principal,Africa,17,367,6239,2807.55,3431.45
2024-07-02,C1269,Government,Operations,Mid,Europe,34,114,3876,2131.8,1744.2
2023-10-26,C8032,Finance,Operations,Senior,Europe,68,175,11900,5950,5950
2024-08-07,C7825,Healthcare,Strategy,Senior,North America,41,220,9020,4510,4510
2024-06-22,C9914,Retail,Operations,Junior,Middle East,160,75,12000,7200,4800
2024-04-26,C1713,Government,Audit,Senior,Asia,23,156,3588,1794,1794
2023-01-17,C6850,Finance,Digital Transformation,Mid,North America,124,139,17236,9479.8,7756.2
2024-08-18,C6447,Healthcare,Strategy,Senior,Africa,125,167,20875,10437.5,10437.5
2023-12-13,C3868,Government,Audit,Principal,Europe,26,357,9282,4176.9,5105.1
2023-05-19,C2033,Government,Audit,Junior,Asia,197,83,16351,9810.6,6540.4
2023-07-26,C1717,Healthcare,Strategy,Senior,Asia,48,153,7344,3672,3672
2024-06-11,C7524,Retail,Audit,Senior,North America,162,182,29484,14742,14742
2024-10-24,C4131,Technology,Digital Transformation,Junior,Asia,179,51,9129,5477.4,3651.6
2023-10-07,C3039,Technology,Audit,Principal,Middle East,167,345,57615,25926.75,31688.25
2024-01-31,C6554,Healthcare,Audit,Principal,Asia,132,311,41052,18473.4,22578.6
2024-06-15,C5369,Finance,Audit,Junior,Middle East,194,65,12610,7566,5044
2024-09-08,C3956,Retail,Digital Transformation,Senior,North America,93,243,22599,11299.5,11299.5
2023-03-23,C6372,Government,Digital Transformation,Senior,Middle East,182,179,32578,16289,16289
2024-09-09,C7981,Healthcare,Audit,Senior,Middle East,155,197,30535,15267.5,15267.5
2023-02-13,C6776,Retail,Audit,Senior,North America,152,161,24472,12236,12236
2023-03-18,C7655,Technology,Operations,Mid,North America,70,132,9240,5082,4158
2023-05-27,C8179,Finance,Data Analytics,Junior,Europe,193,73,14089,8453.4,5635.6
2024-10-22,C7001,Technology,Audit,Junior,Africa,162,56,9072,5443.2,3628.8
2023-06-07,C8371,Technology,Digital Transformation,Principal,North America,81,303,24543,11044.35,13498.65
2024-08-10,C3255,Retail,Digital Transformation,Principal,Asia,126,306,38556,17350.2,21205.8
2024-10-27,C5566,Healthcare,Strategy,Junior,Europe,178,52,9256,5553.6,3702.4
2024-05-26,C9482,Energy,Operations,Junior,Asia,14,72,1008,604.8,403.2
2023-09-24,C8311,Healthcare,Operations,Senior,Middle East,29,231,6699,3349.5,3349.5
